bundler, 1.3.5, MIT
columnize, 0.3.6, Ruby
debugger-linecache, 1.1.2, MIT
debugger-ruby_core_source, 1.2.0, MIT
diff-lcs, 1.1.3, MIT
faraday, 0.8.8, MIT
httparty, 0.11.0, MIT
license_finder, 0.9.2, MIT
mini_portile, 0.5.1, MIT
multi_json, 1.8.0, MIT
multi_xml, 0.5.5, MIT
multipart-post, 1.2.0, MIT
needy_debugger, 1.4.0, BSD
nokogiri, 1.6.0, MIT
rake, 0.9.2.2, MIT
rake-compiler, 0.8.3, MIT
rspec, 2.10.0, MIT
rspec-core, 2.10.0, MIT
rspec-expectations, 2.10.0, MIT
rspec-mocks, 2.10.1, MIT
sequel, 4.2.0, MIT
shutl-clockworksms, 1.0.1, ISC
sqlite3, 1.3.8, MIT
thor, 0.18.1, MIT
